NIU,PERSO_JUR,REGIME_2022,PROFIL_2022,CENTRE_2022,CRI_2022,QUAL_NIU_2022,LOG_CA_2022,LOG_CA_EXP_2022,LOG_VAL_EXP_2022,LOG_VAL_IMP_2022,RATIO_EXP_CA_2022,RATIO_IMP_CA_2022,ECART_EXP_DOUANE_2022,RATIO_ECART_2022,EVOL_CA_2122,INTENSITE_EXP_2022,INTENSITE_IMP_2022,NIU_MAUVAIS,SCORE_FICH_2022,SCORE_DEV_2022,SCORE_RCA_2022,FRAUDE_2022
61,Personne morale,REEL,C,CIME,CRIL1,Bon,0.0,0.0,18.36575983561718,0.0,0.0,0.0,94656000.0,94656000.0,0.0,1,0,0,0,2,0,1
62,Personne morale,REEL,C,CIME,CRIL1,Bon,0.0,0.0,19.29237867658321,0.0,0.0,0.0,239096710.0,239096710.0,0.0,1,0,0,0,2,0,1
63,Personne morale,REEL,C,CIME,CRIL1,Bon,0.0,0.0,20.771386351236117,0.0,0.0,0.0,1049297102.0,1049297102.0,0.0,1,0,0,0,2,0,1
64,Personne morale,REEL,C,CIME,CRIL1,Bon,0.0,0.0,18.52275791231992,0.0,0.0,0.0,110746892.0,110746892.0,0.0,1,0,0,0,2,0,1
65,Personne physique,REEL,C,CIME,CRIL1,Bon,0.0,0.0,19.2127678768962,0.0,0.0,0.0,220800000.0,220800000.0,0.0,1,0,0,0,2,0,1
66,Personne morale,REEL,C,CIME,CRIL2,Bon,0.0,0.0,19.768581139668854,0.0,0.0,0.0,384933495.0,384933495.0,0.0,1,0,0,0,2,0,1
67,Personne morale,REEL,C,CIME,CRIL2,Bon,0.0,0.0,19.03047196198352,0.0,0.0,0.0,184004718.0,184004718.0,0.0,1,0,0,0,2,0,1
68,Personne morale,REEL,C,CIME,CRIL2,Bon,0.0,0.0,17.82978376904706,0.0,0.0,0.0,55383028.0,55383028.0,0.0,1,0,0,0,2,0,1
69,Personne morale,REEL,C,CIME,CRILEXT,Bon,0.0,0.0,18.2556976161043,0.0,0.0,0.0,84790800.0,84790800.0,0.0,1,0,0,0,2,0,1
70,Personne morale,REEL,C,CIME,CRILEXT,Bon,0.0,0.0,18.148609597775557,0.0,0.0,0.0,76180005.0,76180005.0,0.0,1,0,0,0,2,0,1
71,Personne morale,REEL,C,CIME,CRIO,Bon,0.0,0.0,18.2731857640663,0.0,0.0,0.0,86286676.0,86286676.0,0.0,1,0,0,0,1,0,1
72,Personne morale,REEL,C,CIME,CRISO,Bon,0.0,0.0,18.285071285071595,0.0,0.0,0.0,87318357.0,87318357.0,0.0,1,0,0,0,1,0,1
73,Personne morale,REEL,C,CIME,CRISO,Bon,0.0,0.0,17.896973828092992,0.0,0.0,0.0,59232078.0,59232078.0,0.0,1,0,0,0,2,0,1
74,Personne morale,REEL,C,CIME,CRISO,Bon,0.0,0.0,18.214358923139446,0.0,0.0,0.0,81357120.0,81357120.0,0.0,1,0,0,0,2,0,1
75,Personne morale,OBNL,C,CSI,CRIC2,Bon,0.0,0.0,21.970451164712152,0.0,0.0,0.0,3480532598.0,3480532598.0,0.0,1,0,0,0,1,0,1
76,Personne morale,HRI,C,CSI,CRIC2,Bon,0.0,0.0,20.480895567443532,0.0,0.0,0.0,784765548.0,784765548.0,0.0,1,0,0,1,1,0,1
77,Personne morale,REEL,C,CSI,CRIC2,Bon,0.0,0.0,21.142246731910436,0.0,0.0,0.0,1520411306.0,1520411306.0,0.0,1,0,0,1,1,0,1
78,Personne morale,REEL,C,CSI,CRIL2,Bon,0.0,0.0,20.716706611181483,0.0,0.0,0.0,993462238.0,993462238.0,0.0,1,0,0,1,2,0,1
79,Personne morale,REEL,C,CSI,CRIL2,Bon,0.0,0.0,20.303968161477492,0.0,0.0,0.0,657508441.0,657508441.0,0.0,1,0,0,0,2,0,1
80,Personne morale,REEL,C,CSI,CRIL2,Bon,0.0,0.0,19.460307071008415,0.0,0.0,0.0,282816000.0,282816000.0,0.0,1,0,0,0,2,0,1
81,Personne morale,REEL,C,DGE,DGE,Bon,0.0,0.0,21.74214590570689,0.0,0.0,0.0,2770090714.0,2770090714.0,0.0,1,0,0,0,1,0,1
82,Personne morale,REEL,C,DGE,DGE,Bon,0.0,0.0,23.899372602159346,0.0,0.0,0.0,23953315899.0,23953315899.0,0.0,1,0,0,0,1,0,1
83,Personne morale,REEL,C,DGE,DGE,Bon,0.0,0.0,24.8613462796366,0.0,0.0,0.0,62682383464.0,62682383464.0,0.0,1,0,0,0,1,0,1
84,Personne morale,REEL,C,DGE,DGE,Bon,0.0,0.0,25.78570247636015,0.0,0.0,0.0,157974975790.0,157974975790.0,0.0,1,0,0,0,2,0,1
85,Personne morale,REEL,C,DGE,DGE,Bon,0.0,0.0,21.42104371426135,0.0,0.0,0.0,2009282869.0,2009282869.0,0.0,1,0,0,0,2,0,1
86,Personne morale,REEL,C,DGE,DGE,Bon,0.0,0.0,17.919493521206373,0.0,0.0,0.0,60581099.0,60581099.0,0.0,1,0,0,0,2,0,1
87,Personne morale,REEL,C,DGE,DGE,Bon,0.0,0.0,22.644343029688635,0.0,0.0,0.0,6828309914.0,6828309914.0,0.0,1,0,0,0,2,0,1
88,Personne morale,REEL,C,DGE,DGE,Bon,0.0,0.0,23.04263009854125,0.0,0.0,0.0,10169207294.0,10169207294.0,0.0,1,0,0,0,2,0,1
89,Personne morale,REEL,C,DGE,DGE,Bon,0.0,0.0,19.977326498210967,0.0,0.0,0.0,474288572.0,474288572.0,0.0,1,0,0,0,2,0,1
90,Personne morale,REEL,C,DGE,DGE,Bon,0.0,0.0,21.626373703027394,0.0,0.0,0.0,2467259118.0,2467259118.0,0.0,1,0,0,0,2,0,1
91,Personne morale,REEL,C,DGE,DGE,Bon,0.0,0.0,25.949026251694235,0.0,0.0,0.0,186002555849.0,186002555849.0,0.0,1,0,0,0,2,0,1
92,Personne morale,REEL,C,DGE,DGE,Bon,0.0,0.0,18.347289402649714,0.0,0.0,0.0,92923710.0,92923710.0,0.0,1,0,0,0,2,0,1
93,Personne physique,RSI,C,CDI,CRIL1,Bon,0.0,0.0,0.0,19.36272109446717,0.0,256521000.0,0.0,0.0,0.0,0,1,0,2,0,0,0
94,Personne physique,SALARIE,C,CDI,CRIL1,Bon,0.0,0.0,0.0,19.06644135209695,0.0,190743728.0,0.0,0.0,0.0,0,1,0,2,0,0,0
95,Personne physique,SALARIE,C,CDI,CRIL2,Bon,0.0,0.0,0.0,19.088510121656228,0.0,195000000.0,0.0,0.0,0.0,0,1,0,2,0,0,0
96,Personne physique,HRI,C,CDI,CRISO,Bon,0.0,0.0,0.0,18.756828535089692,0.0,139954584.0,0.0,0.0,0.0,0,1,0,2,0,0,0
97,Personne physique,RSI,C,CDI,CRISO,Bon,0.0,0.0,0.0,18.734770442882972,0.0,136901252.0,0.0,0.0,0.0,0,1,0,2,0,0,0
98,Personne physique,IL,C,CDI,CRIA,Bon,0.0,0.0,0.0,18.535133056682145,0.0,112125916.0,0.0,0.0,0.0,0,1,0,2,0,0,0
99,Personne morale,RSI,C,CDI,CRIA,Bon,0.0,0.0,0.0,19.419586805008215,0.0,271530981.0,0.0,0.0,0.0,0,1,0,0,1,0,1
100,Personne physique,SALARIE,C,CDI,CRIC1,Bon,0.0,0.0,0.0,19.651253529951486,0.0,342318972.0,0.0,0.0,0.0,0,1,0,1,0,0,0
101,Personne morale,RSI,C,CDI,CRIC1,Bon,0.0,0.0,0.0,19.074791475581335,0.0,192343130.0,0.0,0.0,0.0,0,1,0,2,0,0,0
102,Personne morale,RSI,C,CDI,CRIC1,Bon,0.0,0.0,0.0,23.38100323321002,0.0,14263978827.0,0.0,0.0,0.0,0,1,0,2,0,0,0
103,Personne physique,RSI,C,CDI,CRIC1,Bon,0.0,0.0,0.0,18.675634936912626,0.0,129040250.0,0.0,0.0,0.0,0,1,0,2,0,0,0
104,Personne morale,HRI,C,CDI,CRIC1,Bon,0.0,0.0,0.0,19.444431876381998,0.0,278361691.0,0.0,0.0,0.0,0,1,0,2,0,0,0
105,Personne morale,HRI,C,CDI,CRIC1,Bon,0.0,0.0,0.0,18.784693533928078,0.0,143909261.0,0.0,0.0,0.0,0,1,0,1,0,0,0
106,Personne morale,HRI,C,CDI,CRIC1,Bon,0.0,0.0,0.0,19.581488379417983,0.0,319251061.0,0.0,0.0,0.0,0,1,0,1,0,0,0
107,Personne morale,HRI,C,CDI,CRIC1,Bon,0.0,0.0,0.0,20.160437721758058,0.0,569595900.0,0.0,0.0,0.0,0,1,0,1,0,0,0
108,Personne morale,RSI,C,CDI,CRIC1,Bon,0.0,0.0,0.0,19.891262318227998,0.0,435176527.0,0.0,0.0,0.0,0,1,0,0,0,0,0
109,Personne morale,RSI,C,CDI,CRIC1,Bon,0.0,0.0,0.0,18.776602191083665,0.0,142749540.0,0.0,0.0,0.0,0,1,0,1,0,0,0
110,Personne morale,RSI,C,CDI,CRIC1,Bon,0.0,0.0,0.0,19.427504360689174,0.0,273689376.0,0.0,0.0,0.0,0,1,0,1,0,0,0
111,Personne physique,RSI,C,CDI,CRIC1,Bon,0.0,0.0,0.0,18.858462814715676,0.0,154926723.0,0.0,0.0,0.0,0,1,0,1,0,0,0
112,Personne morale,RSI,C,CDI,CRIC1,Bon,0.0,0.0,0.0,20.637952626709634,0.0,918224641.0,0.0,0.0,0.0,0,1,0,1,0,0,0
113,Personne morale,RSI,C,CDI,CRIC1,Bon,0.0,0.0,0.0,21.07231881455828,0.0,1417724295.0,0.0,0.0,0.0,0,1,0,1,0,0,0
114,Personne morale,RSI,C,CDI,CRIC1,Bon,0.0,0.0,0.0,18.672574110171915,0.0,128645884.0,0.0,0.0,0.0,0,1,0,0,0,0,0
115,Personne morale,RSI,C,CDI,CRIC1,Bon,0.0,0.0,0.0,18.895651168225278,0.0,160796663.0,0.0,0.0,0.0,0,1,0,0,1,0,1
116,Personne morale,RSI,C,CDI,CRIC1,Bon,0.0,0.0,0.0,20.36585622749276,0.0,699485922.0,0.0,0.0,0.0,0,1,0,0,1,0,1
117,Personne morale,RSI,C,CDI,CRIC1,Bon,0.0,0.0,0.0,21.3917622157419,0.0,1951301095.0,0.0,0.0,0.0,0,1,0,0,1,0,1
118,Personne morale,RSI,C,CDI,CRIC1,Bon,0.0,0.0,0.0,21.05755735323881,0.0,1396950317.0,0.0,0.0,0.0,0,1,0,0,1,0,1
119,Personne morale,OBNL,C,CIME,CRIC2,Bon,0.0,0.0,0.0,18.533580319347735,0.0,111951949.0,0.0,0.0,0.0,0,1,0,0,0,0,0
120,Personne morale,HRI,C,CDI,CRIC2,Bon,0.0,0.0,0.0,19.727966161214066,0.0,369612663.0,0.0,0.0,0.0,0,1,0,1,0,0,0
